Plant;StationMF;CodeMF
"Golfech";"Bordeaux-Mérignac";"07510"
"Nogent";"Troyes-Barberey";"07168"
"Cattenom";"Reims-Prunay";"07072"
"Chooz";"Metz-Frescaty";"07090"
